Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Total embarked,Total disembarked,Year of arrival at port of disembarkation,Percent men,Percent women,Percent children,Slaves died during middle passage,Mortality rate,Slaves outcome label
18046,Lovely Lass,Bristol,"Gold Coast, port unspecified",377,368,1791,0.51902,0.37772,0.11051,9,0.02,Slaves disembarked in Americas
18047,Lyon,Bristol,Gambia,169,150,1789,,,,,,"Slaves embarked, transhipped or no further record"
18048,Mary,Bristol,Anomabu,181,168,1790,,,,,,Slaves disembarked in Americas
18049,Mary,Bristol,"Africa., port unspecified",72,66,1790,,,,,,Slaves disembarked in Americas
18051,Queen Charlotte,Bristol,Anomabu,80,74,1790,,,,,,Slaves disembarked in Americas
18052,Royal Charlotte,Bristol,Bonny,395,360,1789,0.36709,0.44304,0.18987,35,0.09,Slaves disembarked in Americas
18054,Sarah,Bristol,Cameroons River,256,176,1790,0.58984,0.30469,0.10547,80,0.31,Slaves disembarked in Americas
18057,Thomas,Bristol,New Calabar,359,328,1790,,,,,,Slaves disembarked in Americas
18058,Wasp,Bristol,New Calabar,237,158,1789,0.48101,0.41139,0.10759,79,0.33,Slaves disembarked in Americas
18060,Albion,Bristol,Gallinhas,262,262,1791,0.61069,0.27481,0.1145,0,0.0,Slaves disembarked in Americas
18061,Alert,Bristol,,,,1790,,,,,,No slaves embarked
18062,Alfred,Bristol,Bonny,316,297,1791,0.44108,0.45455,0.10438,19,0.06,Slaves disembarked in Americas
18066,Daniel,Bristol,Calabar,210,189,1790,0.51323,0.39683,0.08995,21,0.1,Slaves disembarked in Americas
18067,Dragon,Bristol,Anomabu,79,79,1791,0.57143,0.42857,0.0,0,0.0,Slaves disembarked in Americas
18068,Eliza,Bristol,New Calabar,291,267,1790,,,,,,Slaves disembarked in Americas
18069,Fame,Bristol,Banana Islands,154,152,1791,,,,2,0.01,Slaves disembarked in Americas
18070,Flora,Bristol,Banana Islands,83,73,1791,0.35211,0.33803,0.31944,10,0.12,Slaves disembarked in Americas
18071,Hector,Bristol,Bonny,764,700,1791,,,,,,Slaves disembarked in Americas
18074,Jupiter,Bristol,Anomabu,299,271,1791,0.47601,0.32472,0.19926,28,0.09,Slaves disembarked in Americas
18075,King George,Bristol,Bonny,369,89,1791,,,,280,0.76,Slaves perished with ship
18076,Maria,Bristol,Bassa,80,79,1791,0.03846,0.02564,0.9359,1,0.01,Slaves disembarked in Americas
18077,Mermaid,Bristol,Anomabu,140,136,1791,0.44853,0.38235,0.16912,4,0.03,Slaves disembarked in Americas
18078,Pearl,Bristol,Calabar,372,399,1791,0.43108,0.06767,0.50125,,,Slaves disembarked in Americas
18079,Pilgrim,Bristol,Bonny,426,390,1790,0.57949,0.34103,0.07949,,,Slaves disembarked in Americas
18080,Prince,Bristol,Bonny,396,363,1790,,,,,,Slaves disembarked in Americas
18082,Royal Charlotte,Bristol,Bonny,140,128,1791,,,,,,Slaves disembarked in Americas
18083,Royal Charlotte,Bristol,Bonny,336,312,1791,,,,,,Slaves disembarked in Americas
18084,Ruby,Bristol,Sierra Leone estuary,157,132,1792,0.37879,0.15909,0.46212,25,0.16,Slaves disembarked in Americas
18085,Speculator,Bristol,Anomabu,58,57,1790,0.31579,0.17544,0.50877,1,0.02,Slaves disembarked in Americas
18088,Wasp,Bristol,New Calabar,249,228,1790,,,,,,Slaves disembarked in Americas
18089,Active,Bristol,Sierra Leone estuary,356,352,1792,0.45455,0.22727,0.31818,4,0.01,Slaves disembarked in Americas
18091,Bess,Bristol,Gabon,122,122,1791,0.48361,0.2377,0.27869,0,0.0,Slaves disembarked in Americas
18092,Brothers,Bristol,Bonny,279,229,1791,0.41219,0.31183,0.27599,50,0.18,Slaves disembarked in Americas
18093,Brothers,Bristol,Bonny,287,253,1792,0.43874,0.42688,0.13439,34,0.12,Slaves disembarked in Americas
18095,Crescent,Bristol,Sierra Leone estuary,244,224,1791,,,,20,0.08,Slaves disembarked in Americas
18096,Daniel,Bristol,Calabar,146,126,1791,0.44521,0.29452,0.26027,20,0.14,Slaves disembarked in Americas
18097,Eliza,Bristol,,,,1791,,,,,,No slaves embarked
18098,Favourite,Bristol,Bonny,243,223,1791,,,,,,Slaves disembarked in Americas
18099,Favourite,Bristol,Bonny,237,223,1792,0.44726,0.44304,0.1097,14,0.06,Slaves disembarked in Americas
18101,Hester,Bristol,Bonny,243,232,1792,0.38506,0.56897,0.04598,11,0.05,Slaves disembarked in Americas
18103,James,Bristol,,,,1791,,,,,,No slaves embarked
18104,Lion,Bristol,Bonny,328,279,1792,0.59756,0.40244,0.0,49,0.15,Slaves disembarked in Americas
18107,Mary,Bristol,Bance Island (Ben's Island),70,70,1792,0.6,0.31429,0.08571,0,0.0,Slaves disembarked in Americas
18108,Mary,Bristol,New Calabar,165,158,1791,0.37576,0.30303,0.32121,7,0.04,Slaves disembarked in Americas
18112,Pilgrim,Bristol,Bonny,381,366,1791,0.49869,0.40682,0.09449,15,0.04,Slaves disembarked in Americas
18113,Prince,Bristol,Bonny,359,328,1792,,,,,,Slaves disembarked in Americas
18114,Princess,Bristol,Iles de Los,113,105,1791,,,,,,No information on slaves
18115,Recovery,Bristol,New Calabar,304,283,1791,0.43092,0.375,0.19408,21,0.07,Slaves disembarked in Americas
18116,Recovery,Bristol,Sierra Leone estuary,359,328,1791,,,,,,Slaves disembarked in Americas
18117,Rodney,Bristol,Bonny,371,284,1791,,,,87,0.23,Slaves disembarked in Americas
18118,Royal Charlotte,Bristol,Bonny,359,328,1792,,,,,,Slaves disembarked in Americas
18120,Sarah,Bristol,Bonny,231,190,1791,,,,41,0.18,Slaves disembarked in Americas
18122,Swift,Bristol,Calabar,380,223,1792,0.47085,0.26457,0.26457,157,0.41,Slaves disembarked in Americas
18123,Thomas,Bristol,New Calabar,293,280,1791,,,,13,0.04,Slaves disembarked in Americas
18124,Trelawney,Bristol,Bonny,333,313,1792,0.46547,0.44745,0.08709,20,0.06,Slaves disembarked in Americas
18126,Wasp,Bristol,New Calabar,235,221,1792,0.44681,0.43404,0.11915,14,0.06,Slaves disembarked in Americas
18127,Active,Bristol,Anomabu,359,328,1793,,,,,,Slaves disembarked in Americas
18129,African Queen,Bristol,Calabar,330,214,1793,0.36471,0.54118,0.09412,116,0.35,Slaves disembarked in Americas
18130,Albion,Bristol,Iles de Los,239,220,1793,0.67364,0.32636,0.0,19,0.08,Slaves disembarked in Americas
18131,Alfred,Bristol,New Calabar,326,317,1792,0.41325,0.05994,0.52681,9,0.03,Slaves disembarked in Americas
18133,Betsey,Bristol,Bonny,248,226,1792,0.54032,0.3871,0.07258,22,0.09,Slaves disembarked in Americas
18134,Crescent,Bristol,Iles de Los,273,266,1793,0.46992,0.31955,0.21053,7,0.03,Slaves disembarked in Americas
18138,Fame,Bristol,Calabar,200,135,1792,0.29798,0.64646,0.06965,65,0.33,Slaves disembarked in Americas
18139,Fanny,Bristol,Sierra Leone estuary,232,260,1792,0.625,0.375,0.0,,,Slaves disembarked in Americas
18140,Favourite,Bristol,Calabar,156,118,1793,,,,38,0.24,Slaves disembarked in Americas
18141,Friendship,Bristol,New Calabar,243,208,1793,0.5234,0.4766,0.0,35,0.14,Slaves disembarked in Americas
18142,General Orde,Bristol,New Calabar,240,226,1792,0.33186,0.38938,0.27876,14,0.06,Slaves disembarked in Americas
18144,Hector,Bristol,Bonny,596,558,1793,0.60274,0.39726,0.0,38,0.06,Slaves disembarked in Americas
18145,Hester,Bristol,Anomabu,300,298,1793,0.67333,0.29333,0.03333,2,0.01,Slaves disembarked in Americas
18146,Jupiter,Bristol,Bonny,400,355,1793,0.4375,0.3425,0.22,45,0.11,Slaves disembarked in Americas
18147,Langrishe,Bristol,Bonny,370,353,1792,0.49858,0.43909,0.06232,17,0.05,Slaves disembarked in Americas
18148,Levant,Bristol,New Calabar,348,324,1793,,,,24,0.07,Slaves disembarked in Americas
18149,Lovely Lass,Bristol,Cape Coast Castle,416,411,1794,0.55291,0.17196,0.27513,5,0.01,Slaves disembarked in Americas
18150,Martha's Goodwill,Bristol,Bance Island (Ben's Island),49,45,1793,0.40816,0.34694,0.2449,4,0.08,Slaves disembarked in Americas
18151,Mary,Bristol,"West Central Africa and St. Helena, port unspecified",162,136,1794,,,,,,Slaves disembarked in Americas
18152,Mermaid,Bristol,Gambia,159,129,1792,0.62893,0.32704,0.04403,30,0.19,Slaves disembarked in Americas
18153,Morning Star,Bristol,Sierra Leone estuary,56,,1792,,,,,,Slaves disembarked in Old World
18155,Nancy,Bristol,"Africa., port unspecified",310,266,1792,,,,,,No information on slaves
18156,Nassau,Bristol,Sierra Leone estuary,190,189,1793,0.55263,0.27368,0.17368,1,0.01,Slaves disembarked in Americas
18157,Pearl,Bristol,Bonny,400,200,1793,,,,200,0.5,Slaves disembarked in Americas
18158,Pilgrim,Bristol,Bonny,412,392,1792,0.59335,0.36061,0.04604,20,0.05,Slaves disembarked in Americas
18159,Prince,Bristol,Bonny,311,285,1793,,,,,,Slaves disembarked in Americas
18160,Queen Charlotte,Bristol,Anomabu,70,69,1793,0.62857,0.35714,0.01429,1,0.01,Slaves disembarked in Americas
18161,Recovery,Bristol,Calabar,321,216,1792,0.37037,0.31944,0.31019,105,0.33,Slaves disembarked in Americas
18162,Rodney,Bristol,Calabar,374,343,1793,,,,,,Slaves disembarked in Americas
18163,Roman Emperor,Bristol,Bonny,382,379,1793,,,,3,0.01,Slaves disembarked in Americas
18164,Royal Charlotte,Bristol,Grand Bassam,101,101,1792,0.52475,0.18812,0.28713,0,0.0,Slaves disembarked in Americas
18165,Royal Charlotte,Bristol,"Africa., port unspecified",364,333,1793,,,,,,Slaves disembarked in Americas
18167,Sarah,Bristol,Bonny,154,140,1793,0.42308,0.29231,0.28462,,,Slaves disembarked in Americas
18169,Swift,Bristol,Iles de Los,127,124,1793,0.37607,0.29915,0.32479,3,0.02,Slaves disembarked in Americas
18170,Thomas,Bristol,Bonny,368,337,1793,,,,31,0.08,Slaves disembarked in Americas
18172,Wasp,Bristol,New Calabar,219,201,1793,,,,,,Slaves disembarked in Americas
18174,Young Eagle,Bristol,Calabar,227,208,1793,,,,,,Slaves disembarked in Americas
18175,Betsey,Bristol,"Africa., port unspecified",309,283,1793,,,,,,Slaves disembarked in Americas
18176,Brothers,Bristol,New Calabar,350,314,1793,0.46857,0.53143,0.0,36,0.1,Slaves disembarked in Americas
18177,Catherine,Bristol,Bonny,345,316,1793,,,,,,Slaves disembarked in Americas
18180,Hornet,Bristol,Bonny,432,393,1793,,,,39,0.09,Slaves disembarked in Americas
18182,Langrishe,Bristol,Bonny,416,372,1793,0.52022,0.47978,0.0,44,0.11,Slaves disembarked in Americas
18183,Lion (a) Lyon,Bristol,Congo River,453,415,1793,,,,,,Slaves disembarked in Americas
18185,Pilgrim,Bristol,Bonny,413,398,1794,0.53518,0.46482,0.0,15,0.04,Slaves disembarked in Americas
18186,Royal Charlotte,Bristol,"Africa., port unspecified",210,195,1793,,,,,,No information on slaves
18188,Swift,Bristol,Cape Coast Castle,119,93,1793,,,,,,Slaves disembarked in Americas
18189,African Queen,Bristol,Sierra Leone estuary,411,407,1794,,,,4,0.01,Slaves disembarked in Americas
18190,Bess,Bristol,,,,1794,,,,,,No slaves embarked
18191,Brothers,Bristol,,,,1794,,,,,,No slaves embarked
18192,Catherine,Bristol,,,,1794,,,,,,No slaves embarked
18193,Flora,Bristol,,,,1794,,,,,,No slaves embarked
18194,Lion,Bristol,Malembo,420,410,1795,0.59762,0.3381,0.06429,10,0.02,Slaves disembarked in Americas
18196,Mary,Bristol,"West Central Africa and St. Helena, port unspecified",75,74,1795,0.38667,0.0,0.61333,1,0.01,Slaves disembarked in Americas
18198,Nassau,Bristol,,,,1794,,,,,,No slaves embarked
18200,Roman Emperor,Bristol,"Africa., port unspecified",438,401,1795,,,,,,Slaves disembarked in Americas
18201,Royal Charlotte,Bristol,,,,1794,,,,,,No slaves embarked
18202,Thomas,Bristol,,,,1794,,,,,,No slaves embarked
18203,Wasp,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",181,156,1794,,,,25,0.14,Slaves disembarked in Americas
18204,African Queen,Bristol,Sierra Leone estuary,449,411,1796,,,,,,Slaves disembarked in Americas
18205,Flora,Bristol,Whydah,52,52,1796,0.61538,0.34615,0.03846,0,0.0,Slaves disembarked in Americas
18206,Hibernia,Bristol,Sierra Leone estuary,119,93,1795,,,,,,"Slaves embarked, transhipped or no further record"
18207,Isabella,Bristol,,,,1795,,,,,,No slaves embarked
18212,Nelly,Bristol,"West Central Africa and St. Helena, port unspecified",337,328,1796,,,,9,0.03,Slaves disembarked in Americas
18214,Pilgrim,Bristol,Sierra Leone estuary,404,398,1796,0.54455,0.31436,0.14109,6,0.01,Slaves disembarked in Americas
18216,Sally,Bristol,Bance Island (Ben's Island),197,196,1796,0.53299,0.30964,0.15736,1,0.01,Slaves disembarked in Americas
18217,Alert,Bristol,"Gold Coast, port unspecified",359,328,1797,,,,,,Slaves disembarked in Americas
18219,Peggy,Bristol,Whydah,94,87,1797,0.39759,0.46988,0.13253,,,Slaves disembarked in Americas
18221,African Queen,Bristol,Cape Coast Castle,342,313,1798,,,,,,Slaves disembarked in Americas
18222,Pilgrim,Bristol,Cape Coast Castle,402,368,1798,,,,,,Slaves disembarked in Americas
18223,Sally,Bristol,"Gold Coast, port unspecified",273,236,1797,,,,,,"Slaves embarked, transhipped or no further record"
18224,Alert,Bristol,"Gold Coast, port unspecified",378,346,1798,,,,,,Slaves disembarked in Americas
18225,Alexander,Bristol,Cameroons,276,209,1799,,,,,,Slaves disembarked in Americas
18228,Prince of Wales,Bristol,Cape Coast Castle,381,349,1799,,,,,,Slaves disembarked in Americas
18229,Active,Bristol,Sierra Leone estuary,359,328,1800,,,,,,Slaves disembarked in Americas
18230,Alert,Bristol,Cape Coast Castle,348,319,1800,,,,,,Slaves disembarked in Americas
18231,Allison,Bristol,"West Central Africa and St. Helena, port unspecified",412,375,1800,,,,,,Slaves disembarked in Americas
18232,Bacchus,Bristol,"Africa., port unspecified",310,266,1799,,,,,,Slaves disembarked in Americas
18235,Robust,Bristol,,,,1799,,,,,,No slaves embarked
18236,Alert,Bristol,Cape Coast Castle,310,279,1801,,,,,,Slaves disembarked in Americas
18238,Minerva,Bristol,"Windward Coast, port unspecified",359,328,1800,,,,,,Slaves disembarked in Americas
18239,Swift,Bristol,"Gold Coast, port unspecified",275,247,1801,,,,,,Slaves disembarked in Americas
18243,Dick,Bristol,Congo River,191,172,1802,,,,,,Slaves disembarked in Americas
18245,Lapwing,Bristol,Cape Coast Castle,310,279,1801,,,,,,Slaves disembarked in Americas
18246,Swift,Bristol,Cape Coast Castle,275,247,1802,,,,,,Slaves disembarked in Americas
18248,Alert,Bristol,"Africa., port unspecified",260,234,1803,,,,,,Slaves disembarked in Americas
18249,Aurora,Bristol,"Africa., port unspecified",310,279,1802,,,,,,Slaves disembarked in Americas
18252,Minerva,Bristol,"Gold Coast, port unspecified",242,218,1804,,,,,,Slaves disembarked in Americas
18259,Swift,Bristol,"Gold Coast, port unspecified",389,350,1803,,,,,,Slaves disembarked in Americas
18263,Alert,Bristol,"Gold Coast, port unspecified",269,242,1804,,,,,,Slaves disembarked in Americas
18265,Reliance,Bristol,,,,1804,,,,,,No slaves embarked
18266,Swift,Bristol,Anomabu,393,353,1805,,,,,,Slaves disembarked in Americas
18267,Alert,Bristol,Sierra Leone estuary,277,249,1806,,,,,,Slaves disembarked in Americas
18269,British Tar,Bristol,"Senegambia and offshore Atlantic, port unspecified",310,279,1806,,,,,,Slaves disembarked in Americas
18270,General Davie (a) David,Bristol,"West Central Africa and St. Helena, port unspecified",203,203,1806,,,,,,Slaves disembarked in Americas
18272,Alert,Bristol,"Gold Coast, port unspecified",267,240,1807,,,,,,Slaves disembarked in Americas
18274,Alert,Bristol,"Gold Coast, port unspecified",321,300,1787,,,,21,0.07,Slaves disembarked in Americas
18275,Pilgrim,Bristol,Bonny,421,350,1788,,,,71,0.17,Slaves disembarked in Americas
18276,Fly,Bristol,Sierra Leone estuary,49,45,1789,,,,,,Slaves disembarked in Americas
16108,Florida Gally,Bristol,Madeira,245,217,1714,,,,,,Slaves disembarked in Americas
16109,Freeke Gally,Bristol,"Africa., port unspecified",353,283,1714,,,,,,Slaves disembarked in Americas
16110,Greyhound Gally,Bristol,"Africa., port unspecified",237,190,1715,,,,,,Slaves disembarked in Americas
16111,Jacob,Bristol,"Africa., port unspecified",162,130,1714,,,,,,Slaves disembarked in Americas
16112,Jason Gally,Bristol,"Africa., port unspecified",347,278,1714,,,,,,Slaves disembarked in Americas
16113,Lawford Gally,Bristol,"Africa., port unspecified",237,190,1713,,,,,,Slaves disembarked in Americas
16114,Mercy Gally,Bristol,"Africa., port unspecified",237,190,1714,,,,,,Slaves disembarked in Americas
16115,Mermaid Gally,Bristol,Cape Verde Islands,81,72,1714,,,,,,Slaves disembarked in Americas
16116,Morning Star,Bristol,"Africa., port unspecified",237,190,1713,,,,,,Slaves disembarked in Americas
16117,Peterborough,Bristol,"Africa., port unspecified",250,200,1714,,,,,,Slaves disembarked in Americas
16118,Resolution,Bristol,"Gold Coast, port unspecified",270,255,1713,,,,15,0.06,Slaves disembarked in Americas
16119,Richard and William,Bristol,"Africa., port unspecified",69,55,1714,,,,,,Slaves disembarked in Americas
16120,Rotchdale Gally,Bristol,"Africa., port unspecified",120,96,1713,,,,,,Slaves disembarked in Americas
16121,Tunbridge Gally,Bristol,"Africa., port unspecified",250,200,1714,,,,,,Slaves disembarked in Americas
16122,Union Sloop,Bristol,"Gold Coast, port unspecified",93,80,1713,,,,,,Slaves disembarked in Americas
16124,Berkley Gally,Bristol,Calabar,323,245,1715,,,,,,Slaves disembarked in Americas
16125,Diana,Bristol,"Gold Coast, port unspecified",58,50,1715,,,,,,Slaves disembarked in Americas
16126,Dover Gally,Bristol,"Africa., port unspecified",295,236,1715,,,,,,Slaves disembarked in Americas
16127,Duckinfield Gally,Bristol,"Africa., port unspecified",387,310,1715,,,,,,Slaves disembarked in Americas
16128,Fame,Bristol,"Africa., port unspecified",105,84,1715,,,,,,Slaves disembarked in Americas
16129,Florida,Bristol,Calabar,191,145,1715,,,,,,Slaves disembarked in Americas
16130,Hallifield Gally,Bristol,"Africa., port unspecified",237,190,1714,,,,,,Slaves disembarked in Americas
16131,Jason Gally,Bristol,"Africa., port unspecified",360,288,1715,,,,,,Slaves disembarked in Americas
16132,Peterborough Frigate,Bristol,"Africa., port unspecified",431,345,1715,,,,,,Slaves disembarked in Americas
16133,Provis Gally,Bristol,"Africa., port unspecified",122,98,1715,,,,,,Slaves disembarked in Americas
16134,Queen Ann,Bristol,"Africa., port unspecified",121,108,1714,,,,,,Slaves disembarked in Americas
16135,Royal George,Bristol,"Africa., port unspecified",237,190,1714,,,,,,Slaves disembarked in Americas
16136,Sacheverell Gally,Bristol,"Gold Coast, port unspecified",134,116,1715,,,,,,Slaves disembarked in Americas
16137,Saint Michael,Bristol,"Africa., port unspecified",272,228,1714,,,,,,Slaves disembarked in Americas
16138,Tiverton Gally,Bristol,"Africa., port unspecified",287,230,1715,,,,,,Slaves disembarked in Americas
16140,Bachelor,Bristol,"Africa., port unspecified",116,95,1716,,,,,,Slaves disembarked in Americas
16141,Dover Gally,Bristol,"Africa., port unspecified",237,190,1715,,,,,,Slaves disembarked in Americas
16142,Duckinfield Gally,Bristol,"Africa., port unspecified",365,292,1716,,,,,,Slaves disembarked in Americas
16143,Freeke Gally,Bristol,"Africa., port unspecified",327,262,1715,,,,,,Slaves disembarked in Americas
16144,Hallifield,Bristol,"Africa., port unspecified",237,190,1715,,,,,,Slaves disembarked in Americas
16145,Houlton,Bristol,"Africa., port unspecified",147,118,1716,,,,,,Slaves disembarked in Americas
16146,Mercy,Bristol,"Gold Coast, port unspecified",178,154,1716,,,,,,Slaves disembarked in Americas
16148,Peniel Gally,Bristol,"Africa., port unspecified",187,150,1716,,,,,,Slaves disembarked in Americas
16149,Queen Ann,Bristol,"Africa., port unspecified",125,100,1716,,,,,,Slaves disembarked in Americas
16150,Roachdale Gally,Bristol,Madeira,169,150,1715,,,,,,No information on slaves
16151,Tiverton Gally,Bristol,"Africa., port unspecified",323,259,1716,,,,,,Slaves disembarked in Americas
16152,Triton Gally,Bristol,"Africa., port unspecified",211,169,1716,,,,,,Slaves disembarked in Americas
16153,Tunbridge Gally,Bristol,"Africa., port unspecified",237,190,1715,,,,,,Slaves disembarked in Americas
16154,Anna and Sarah,Bristol,"Africa., port unspecified",237,190,1716,,,,,,Slaves disembarked in Americas
16156,Berkley Gally,Bristol,Whydah,367,313,1716,,,,,,Slaves disembarked in Americas
16157,Betty Gally,Bristol,"Africa., port unspecified",237,190,1716,,,,,,Slaves disembarked in Americas
16158,Betty,Bristol,"Africa., port unspecified",241,197,1716,,,,,,Slaves disembarked in Americas
16159,Charfield,Bristol,Gambia,176,156,1717,,,,,,Slaves disembarked in Americas
16161,Dover,Bristol,Cape Coast Castle,273,236,1717,,,,,,Slaves disembarked in Americas
16162,Duckinfield,Bristol,"Africa., port unspecified",220,176,1717,,,,,,Slaves disembarked in Americas
16163,Freke Gally,Bristol,"Africa., port unspecified",378,303,1716,,,,,,Slaves disembarked in Americas
16164,Houlton Gally,Bristol,Gambia,169,150,1717,,,,,,Slaves disembarked in Americas
16166,Martin Gally,Bristol,"Africa., port unspecified",201,161,1717,,,,,,Slaves disembarked in Americas
16169,Parnel Gally,Bristol,New Calabar,294,223,1717,,,,,,Slaves disembarked in Americas
16170,Peniel,Bristol,"Africa., port unspecified",237,190,1717,,,,,,Slaves disembarked in Americas
16171,Peterborough Frigate,Bristol,"Africa., port unspecified",238,191,1717,,,,,,Slaves disembarked in Americas
16172,Rebecca,Bristol,"Africa., port unspecified",169,135,1716,,,,,,Slaves disembarked in Americas
16173,Royal George,Bristol,"Africa., port unspecified",237,190,1716,,,,,,No information on slaves
16174,Susanna and Elizabeth,Bristol,"Africa., port unspecified",237,190,1716,,,,,,Slaves disembarked in Americas
16175,Tiverton Gally,Bristol,"Africa., port unspecified",291,233,1717,,,,,,Slaves disembarked in Americas
16176,Triton Gally,Bristol,"Gold Coast, port unspecified",166,140,1717,,,,,,Slaves disembarked in Americas
16177,Violet,Bristol,"Africa., port unspecified",237,190,1717,,,,,,Slaves disembarked in Americas
16178,Ann and Sarah,Bristol,"Africa., port unspecified",237,190,1717,,,,,,Slaves disembarked in Americas
16179,Berkley Gally,Bristol,New Calabar,188,143,1718,,,,,,Slaves disembarked in Americas
16180,Coulstone,Bristol,Sierra Leone estuary,41,33,1718,,,,,,Slaves disembarked in Americas
16181,Dragon,Bristol,"Africa., port unspecified",237,190,1717,,,,,,Slaves disembarked in Americas
16182,Duckinfield,Bristol,"Africa., port unspecified",237,190,1718,,,,,,Slaves disembarked in Americas
16183,Freke Gally,Bristol,"Africa., port unspecified",237,190,1717,,,,,,Slaves disembarked in Americas
16184,Henry,Bristol,"Africa., port unspecified",157,126,1718,,,,,,Slaves disembarked in Americas
16185,Jason Gally,Bristol,"Africa., port unspecified",372,298,1718,,,,,,Slaves disembarked in Americas
16187,Martin Gally,Bristol,"Africa., port unspecified",187,150,1718,,,,,,Slaves disembarked in Americas
16188,Mercy,Bristol,"Africa., port unspecified",330,264,1717,,,,,,Slaves disembarked in Americas
16189,Morning Star,Bristol,"Africa., port unspecified",167,134,1718,,,,,,Slaves disembarked in Americas
16190,Nightingale,Bristol,"Africa., port unspecified",237,190,1718,,,,,,Slaves disembarked in Americas
16191,Parnel Gally,Bristol,Calabar,276,209,1718,,,,,,Slaves disembarked in Americas
16192,Pearl,Bristol,"Africa., port unspecified",221,177,1718,,,,,,Slaves disembarked in Americas
16193,Peterborough,Bristol,Calabar,276,209,1718,,,,,,Slaves disembarked in Americas
16194,Princess Carolina,Bristol,"Africa., port unspecified",107,86,1718,,,,,,Slaves disembarked in Americas
16195,Queen Mary,Bristol,"Africa., port unspecified",237,190,1717,,,,,,Slaves disembarked in Americas
16196,Raymond Gally,Bristol,"Africa., port unspecified",240,192,1718,,,,,,Slaves disembarked in Americas
16197,Rebecca,Bristol,"Africa., port unspecified",109,87,1718,,,,,,Slaves disembarked in Americas
16198,Rumsey,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",166,126,1718,,,,,,Slaves disembarked in Americas
16199,Society,Bristol,"Gold Coast, port unspecified",149,129,1718,,,,,,Slaves disembarked in Americas
16200,Success,Bristol,Anomabu,200,180,1717,,,,20,0.1,Slaves disembarked in Americas
16201,Tiverton,Bristol,"Africa., port unspecified",320,256,1718,,,,,,Slaves disembarked in Americas
16202,Tryton,Bristol,"Africa., port unspecified",206,165,1717,,,,,,Slaves disembarked in Americas
16203,Tunbridge,Bristol,"Africa., port unspecified",237,190,1717,,,,,,Slaves disembarked in Americas
16204,Violet,Bristol,"Africa., port unspecified",237,190,1718,,,,,,Slaves disembarked in Americas
16205,Africa,Bristol,"Africa., port unspecified",95,84,1719,,,,,,Slaves disembarked in Americas
16206,Ann Gally,Bristol,"Africa., port unspecified",122,98,1719,,,,,,Slaves disembarked in Americas
16207,Anna and Sarah,Bristol,Calabar,209,159,1719,,,,,,Slaves disembarked in Americas
16208,Bensworth,Bristol,Gambia,56,50,1718,,,,,,Slaves disembarked in Americas
16209,Berkley Gally,Bristol,Calabar,244,185,1719,,,,,,Slaves disembarked in Americas
16210,Betty Gally,Bristol,"Africa., port unspecified",350,280,1719,,,,,,Slaves disembarked in Americas
16211,Calabar Merchant,Bristol,"Africa., port unspecified",227,182,1718,,,,,,Slaves disembarked in Americas
16212,Charfield,Bristol,Gambia,86,76,1718,,,,,,Slaves disembarked in Americas
16213,Charles,Bristol,"Africa., port unspecified",136,109,1718,,,,,,Slaves disembarked in Americas
16214,Diamond Gally,Bristol,"Africa., port unspecified",100,80,1719,,,,,,Slaves disembarked in Americas
16215,Duckinfield Gally,Bristol,"Africa., port unspecified",350,280,1719,,,,,,Slaves disembarked in Americas
16216,Freke Gally,Bristol,"Gold Coast, port unspecified",278,240,1719,,,,,,Slaves disembarked in Americas
16217,Greyhound Gally,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",240,182,1718,,,,,,Slaves disembarked in Americas
16218,Greyhound,Bristol,Calabar,224,170,1719,,,,,,Slaves disembarked in Americas
16219,Mercy Gally,Bristol,"Africa., port unspecified",412,330,1719,,,,,,Slaves disembarked in Americas
16220,Morehampton,Bristol,Bonny,80,61,1719,,,,,,Slaves disembarked in Americas
16222,Noblet Sloop,Bristol,"West Central Africa and St. Helena, port unspecified",160,146,1719,,,,,,Slaves disembarked in Americas
16223,Peniel,Bristol,"Africa., port unspecified",200,160,1719,,,,,,Slaves disembarked in Americas
16224,Prince Eugene,Bristol,Madagascar,492,340,1719,,,,,,Slaves disembarked in Americas
16225,Queen Mary,Bristol,"Africa., port unspecified",412,330,1718,,,,,,Slaves disembarked in Americas
16226,Raymond,Bristol,"Africa., port unspecified",287,230,1719,,,,,,Slaves disembarked in Americas
16227,Robert and Henry,Bristol,"Africa., port unspecified",186,149,1718,,,,,,Slaves disembarked in Americas
16228,Sherley Gally,Bristol,"Africa., port unspecified",240,192,1719,,,,,,Slaves disembarked in Americas
16229,Sierra Leone,Bristol,Calabar,136,103,1719,,,,,,Slaves disembarked in Americas
16230,Tiverton,Bristol,"Africa., port unspecified",275,220,1719,,,,,,Slaves disembarked in Americas
16231,Triton,Bristol,"Africa., port unspecified",192,154,1718,,,,,,Slaves disembarked in Americas
16232,Tunbridge Gally,Bristol,"Gold Coast, port unspecified",281,243,1719,,,,,,Slaves disembarked in Americas
